CommonName,#Necropsies,#Tumors,Adultmass(Kg),Maximumlifespan(yrs),msBMR(W/g),%Tumors,Lowerlimit95%CI,Upperlimit95%CI
Striped Gras sMouse,13,0,0.05,4.5,0.00452,0,0,12.62
Philippine Tarsier,13,0,0.12,16,0.00381,0,0,12.62
Pygmy Marmoset,15,0,0.12,18.6,0.00541,0,0,11.19
Tree Shrew,13,1,0.2,12.4,0.00424,7.69,0,24.9
Marmoset,18,3,0.26,16.5,0.00446,16.67,0,34.2
Squirrel Monkey,17,0,0.93,30.2,0.00529,0,0,10.04
Prairie Dog,16,3,1.13,11,0.00212,18.75,0,37.96
Fennec Fox,10,0,1.25,16.3,0.00232,0,0,15.64
Viriginia Opossum,11,0,3,6.6,0.00186,0,0,14.49
Rock Hyrax,76,1,3.6,14.8,0.00202,1.32,0,4.82
Parma Wallaby,34,1,4.25,15.9,NA,2.94,0,10.42
Armadillo,74,2,5.5,22.3,0.00136,2.7,0,7.08
Racoon,15,0,6,21,0.00215,0,0,11.19
Tasmanian Devil,18,9,6.5,13,0.00141,50,28.09,71.91
Darma Wallaby,14,0,6.5,15.1,0.00162,0,0,11.86
Tree Kangaroo,18,0,7.2,26.9,0.00114,0,0,9.55
Blue Monkey,27,2,9,37.8,0.00223,7.41,0,18.49
Koala,26,1,9.3,22.1,0.00121,3.85,0,13.39
Black-backed Jackal,18,1,10.25,16.7,0.00279,5.56,0,18.7
HamadryasBaboon,18,0,18,37.5,0.00166,0,0,9.55
Collared Peccary,16,0,20.2,31.5,0.00162,0,0,10.58
African Wild Dog,40,3,26.5,17,0.00377,7.5,0,16.38
Eastern Wallaroo,40,0,30,22,0.00111,0,0,4.61
Pronghorn,25,1,46.1,15.5,0.00147,4,0,13.88
Cheetah,13,3,53.5,20.5,0.00161,23.08,0.7,45.46
Red Kangaroo,15,0,55,25,0.0011,0,0,11.19
Capybara,13,0,55,15.1,0.00139,0,0,12.62
Cougar,11,0,63,23.8,0.00133,0,0,14.49
Reindeer,16,0,101.25,21.7,0.00141,0,0,10.58
Harbor Seal,35,2,115,47.6,0.00267,5.71,0,14.51
Tiger,17,2,119.7,26.3,0.00097,11.76,0,28.16
Llama,18,0,140,28.9,0.0013,0,0,9.55
Blue Wildebeest,25,0,164.5,24.3,0.00117,0,0,7.12
Donkey,19,1,165,47,0.00093,5.26,0,17.82
Lion,52,1,175,27,0.00097,1.92,0,6.96
Moose,13,0,386,22,0.00088,0,0,12.62
Elephant,644,20,4800,65,NA,3.11,1.74,4.47
